"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Use","Purpose of Use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Renovation","Transactional factors"
78,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Minamiasada","Hamamatsu","21",13000000,"","130",97000,"Semi-rectangular Shaped","8.5","","","","","House","South","City Road",6.0,"Category 1 Residential District",60,200,"4th quarter 2017","",""
79,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Mukojuku","Hamamatsu","28",17000000,"","230",75000,"Semi-rectangular Shaped","9.0","","","","","House","East","City Road",7.5,"Category 1 Residential District",60,200,"4th quarter 2017","",""
80,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Motohamacho","Hamamatsu","19",14000000,"","165",82000,"Semi-rectangular Shaped","11.0","","","","","Other","West","City Road",7.0,"Commercial District",80,400,"4th quarter 2017","",""
81,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Motohamacho","Hamamatsu","16",12000000,"1DK","40",,"","","","1996","","House","","","",,"Commercial District",80,400,"4th quarter 2017","Not yet",""
82,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Yamatecho","Hamamatsu","30-60minutes",70000000,"","330",,"Semi-rectangular Shaped","15.0","180","1991","W","House","House","South","City Road",8.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"4th quarter 2017","",""
83,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Yamatecho","Hamamatsu","30-60minutes",7500000,"3LDK","70",,"","","","1997","SRC","","","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"4th quarter 2017","Not yet",""
84,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Wagocho","Hamamatsu","1H-1H30",21000000,"","260",,"Rectangular Shaped","13.0","185","1993","S","Housing Complex","House","East","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"4th quarter 2017","",""
85,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Wagocho","Hamamatsu","30-60minutes",2100000,"","45",44000,"Irregular Shaped","0.8","","","","","House","South","City Road",7.8,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"4th quarter 2017","",""
86,"Agricultural Land","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Wagocho","","",17000000,"","2500",,"","","","","","","","","",,"",,,"4th quarter 2017","",""
87,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Wajiyama","Hamamatsu","30-60minutes",20000000,"","165",120000,"Semi-rectangular Shaped","7.5","","","","","House","East","City Road",8.5,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"4th quarter 2017","",""
88,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Wajiyama","Hamamatsu","30-60minutes",19000000,"","160",120000,"Semi-rectangular Shaped","7.5","","","","","House","East","City Road",8.5,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"4th quarter 2017","",""
